2018-01-22 11:54:52 INFO  HomePage:39 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (c8f2b1d89b600b466d555e3b24f03491)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-22 11:56:25 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-22 11:56:28 INFO  HomePage:39 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (f6d12b8a2e49204ba1e8e70d2604f573)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-22 11:57:29 INFO  HomePage:46 -Clicked on askLifestages and object is Proxy element for: DefaultElementLocator 'By.xpath: //*[@id='app']/div/div/main/div/div/div[2]/div/div[1]/div[2]/div[1]/div[2]/div[2]/div[2]/div'
2018-01-22 11:57:29 INFO  HomePage:49 -Clicked on askLifestages and object is [[ChromeDriver: chrome on XP (f6d12b8a2e49204ba1e8e70d2604f573)] -> xpath: //*[@id='app']/div/div/main/div/div[1]/div[3]/form/div[1]/div/div/div/div[2]/div/textarea]
2018-01-22 11:57:50 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-22 11:57:52 INFO  HomePage:39 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (8d2aad4772b419ce95a19e206cd04ec5)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-22 11:58:29 INFO  HomePage:52 -Clicked on askLifestages and object is Proxy element for: DefaultElementLocator 'By.xpath: //*[@id='app']/div/div/main/div/div/div[2]/div/div[1]/div[2]/div[1]/div[2]/div[2]/div[2]/div'
2018-01-22 11:58:53 INFO  HomePage:46 -Clicked on askLifestages and object is Proxy element for: DefaultElementLocator 'By.xpath: //*[@id='app']/div/div/main/div/div/div[2]/div/div[1]/div[2]/div[1]/div[2]/div[2]/div[2]/div'
2018-01-22 11:59:29 INFO  HomePage:54 -Clicked on askLifestages and object is Proxy element for: DefaultElementLocator 'By.xpath: //*[@id='app']/div/div/main/div/div/div[2]/div/div[1]/div[2]/div[1]/div[2]/div[2]/div[1]/div/a'
2018-01-22 11:59:29 INFO  TestBase:24 -============Finished Question and Answers forum================
2018-01-22 12:03:10 INFO  TestBase:21 -============Starting Question and Answer forum================
